timestamp,session_id,severity,risk_score,component,primary_cause,action_taken,status
2026-03-14 20:04:49,blk_8074191249935269840,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:53,blk_-6537466496668089147,CRITICAL,1.0000,namenode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:54,blk_2075234716713999208,CRITICAL,0.9997,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:54,blk_8246640784664624144,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:56,blk_989409441141247289,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:05:06,blk_9097589278338830437,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:05:09,blk_8902874290653812711,CRITICAL,1.0000,namenode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:05:24,blk_-487160497666132,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:05:26,blk_8386155670234862721,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:05:27,blk_9059213897892511730,CRITICAL,1.0000,namenode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:05:49,blk_6806497011036089908,CRITICAL,0.9998,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
